paper,paper_url,date,year,half_year,primary_level,capability_path,modalities,catalog_subsection,primary_mechanism,controller_type,visual_executor,feedback,evaluation_type,planning,retrieval,tool_use,multi_agent,verification,memory,rl,closed_loop,cross_task_persistence,github,website,open_source
POSI: Universal Prompt Optimizer for Safe Text-to-Image Generation,https://arxiv.org/abs/2402.10882,2024-02,2024,2024-H1,L1,L1,Image,"Prompt, preference, and intent conditioning",Safety-aware prompt optimization,language or multimodal controller,image generator,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,True,False,False,False,False,False,False,False,False,,,False
Promptist: Optimizing Prompts for Text-to-Image Generation,https://arxiv.org/abs/2212.09611,2022-12,2022,2022-H2,L1,L1,Image,"Prompt, preference, and intent conditioning",Learned prompt policy,language or multimodal controller,image generator,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,True,False,False,False,False,False,False,False,False,https://github.com/microsoft/LMOps/tree/main/promptist,https://aka.ms/promptist-demo,True
AgentHOI: Multi-Agent Reasoning for Human-Object-Interaction Video Generation via Implicit Representation Alignment,https://arxiv.org/abs/2607.22241,2026-07,2026,2026-H2,L1,L1,Video,Structured and internal conditioning,Condition construction and planning,multi-role language or multimodal controller,video generator or editor,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,True,False,False,True,False,False,False,False,False,https://github.com/bone-11/agenthoi,,True
CinemaTraj: Composing Atomic Camera Trajectories for 3D Scenes with LLM Agents,https://arxiv.org/abs/2607.26910,2026-07,2026,2026-H2,L1,L1,Video,Structured and internal conditioning,Condition construction and planning,language or multimodal controller,video generator or editor,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,True,False,False,False,False,False,False,False,False,,https://cinematraj.github.io/,False
NaLA: A 3D Native LLM Layout Agent for High-quality 3D Scene Generation,https://arxiv.org/abs/2606.29395,2026-06,2026,2026-H1,L1,L1,3D,Structured and internal conditioning,Condition construction and planning,unified multimodal policy,3D generator or scene engine,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,True,False,False,False,False,False,False,False,False,https://github.com/adamcwan/NaLA-code,https://adamcwan.github.io/NaLA/,True
One Image is All You Need: Agentic One-Shot Image Generation via Text-Based World Models for Long-Tail Spatial Perception,https://arxiv.org/abs/2606.20764,2026-06,2026,2026-H1,L1,L1,Image;World,Structured and internal conditioning,Condition construction and planning,language or multimodal controller,image generator; world generator or simulator,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,True,False,False,False,False,False,False,False,False,,,False
TempAct: Advancing Temporal Plausibility in Autoregressive Video Generation via Planner-Executor RL,https://arxiv.org/abs/2606.28016,2026-06,2026,2026-H1,L1,L1,Video,Structured and internal conditioning,Condition construction and planning,language or multimodal controller,video generator or editor,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,True,False,False,False,False,False,True,False,False,https://github.com/jingw193/TempAct,https://jingw193.github.io/TempAct/,True
CogPortrait: Fine-Grained Eye-Region Control in Portrait Animation via Hierarchical Agent Planning,https://arxiv.org/abs/2605.28056,2026-05,2026,2026-H1,L1,L1,Video,Structured and internal conditioning,Condition construction and planning,language or multimodal controller,video generator or editor,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,True,False,False,False,False,False,False,False,False,,,False
S2ED: From Story to Executable Descriptions for Consistency-Aware Story Illustration,https://arxiv.org/abs/2605.22448,2026-05,2026,2026-H1,L1,L1,Image,Structured and internal conditioning,Condition construction and planning,language or multimodal controller,image generator,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,True,False,False,False,False,False,False,False,False,,,False
CANVAS: Continuity-Aware Narratives via Visual Agentic Storyboarding,https://arxiv.org/abs/2604.13452,2026-04,2026,2026-H1,L1,L1,Image,Structured and internal conditioning,Condition construction and planning,language or multimodal controller,image generator,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,True,False,False,False,False,False,False,False,False,,https://ishani-mondal.github.io/canvas-project-page/,False
Lighting-grounded Video Generation with Renderer-based Agent Reasoning,https://arxiv.org/abs/2604.07966,2026-04,2026,2026-H1,L1,L1,Video,Structured and internal conditioning,3D-rendered video conditioning,language or multimodal controller,video generator or editor,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,True,True,False,False,True,False,False,False,False,,https://caiziqi.com/research/liver/,False
Think-Then-Generate: Reasoning-Aware Text-to-Image Diffusion with LLM Encoders,https://arxiv.org/abs/2601.10332,2026-01,2026,2026-H1,L1,L1,Image,Structured and internal conditioning,Condition construction and planning,language or multimodal controller,image generator,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,True,False,False,False,False,False,False,False,False,https://github.com/zhijie-group/Think-Then-Generate,,True
ThinkGen,https://arxiv.org/abs/2512.23568,2025-12,2025,2025-H2,L1,L1,Image,Structured and internal conditioning,MLLM instruction construction for a fixed diffusion transformer,language or multimodal controller,image generator,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,False,False,False,False,False,False,False,False,False,https://github.com/jiaosiyuu/ThinkGen,,True
LLMControl,https://arxiv.org/abs/2507.19939,2025-07,2025,2025-H2,L1,L1,Image,Structured and internal conditioning,Grounded controls,language or multimodal controller,image generator,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,False,True,False,False,False,False,False,False,False,,,False
GoT: Reasoning for Visual Generation and Editing,https://arxiv.org/abs/2503.10639,2025-03,2025,2025-H1,L1,L1,Image;Editing,Structured and internal conditioning,Generation-oriented reasoning,language or multimodal controller,image generator; visual editor,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,True,False,False,False,False,False,False,False,False,https://github.com/rongyaofang/GoT,,True
Region-Aware Text-to-Image Generation via Hard Binding and Soft Refinement,https://arxiv.org/abs/2411.06558,2024-11,2024,2024-H2,L1,L1,Image,Structured and internal conditioning,Region binding,language or multimodal controller,image generator,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,False,False,False,False,False,False,False,False,False,https://github.com/NJU-PCALab/RAG-Diffusion,,True
LLM Blueprint,https://arxiv.org/abs/2310.10640,2023-10,2023,2023-H2,L1,L1,Image,Structured and internal conditioning,Structured scene description,language or multimodal controller,image generator,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,True,False,False,False,False,False,False,False,False,https://github.com/hananshafi/llmblueprint,,True
MGIE: Guiding Instruction-based Image Editing via Multimodal LLMs,https://arxiv.org/abs/2309.17102,2023-09,2023,2023-H2,L1,L1,Editing,Structured and internal conditioning,Expressive edit instruction,language or multimodal controller,visual editor,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,False,False,False,False,False,False,False,False,False,https://github.com/tsujuifu/pytorch_mgie,https://mllm-ie.github.io/,True
LayoutGPT,https://arxiv.org/abs/2305.15393,2023-05,2023,2023-H1,L1,L1,Image;3D,Structured and internal conditioning,Layout planning,language or multimodal controller,image generator; 3D generator or scene engine,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,True,False,False,False,False,False,False,False,False,https://github.com/UCSB-AI/LayoutGPT,https://layoutgpt.github.io/,True
LLM-grounded Diffusion,https://arxiv.org/abs/2305.13655,2023-05,2023,2023-H1,L1,L1,Image,Structured and internal conditioning,Bounding-box planning,language or multimodal controller,image generator,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,True,True,False,False,False,False,False,False,False,https://github.com/TonyLianLong/LLM-groundedDiffusion,https://llm-grounded-diffusion.github.io/,True
Gen-Searcher,https://arxiv.org/abs/2603.28767,2026-03,2026,2026-H1,L1,L1,Image;World,"Retrieval, world knowledge, and motion conditioning",Learned search for generation context,language or multimodal controller,image generator; world generator or simulator,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,False,True,False,False,False,False,False,False,False,https://github.com/tulerfeng/Gen-Searcher,https://gen-searcher.vercel.app/,True
ShotVerse,https://arxiv.org/abs/2603.11421,2026-03,2026,2026-H1,L1,L1,Video,"Retrieval, world knowledge, and motion conditioning",Multi-shot camera planning,language or multimodal controller,video generator or editor,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,True,False,False,False,False,False,False,False,False,https://github.com/Songlin1998/ShotVerse,https://shotverse.github.io/,True
Open Multimodal Retrieval-Augmented Factual Image Generation,https://arxiv.org/abs/2510.22521,2025-10,2025,2025-H2,L1,L1,Image,"Retrieval, world knowledge, and motion conditioning",Condition construction and planning,language or multimodal controller,image generator,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,True,True,False,False,False,False,False,False,False,https://github.com/TyangJN/ORIG,https://tyangjn.github.io/orig.github.io/,True
World-to-Image,https://arxiv.org/abs/2510.04201,2025-10,2025,2025-H2,L1,L1,Image;World,"Retrieval, world knowledge, and motion conditioning",Agent-driven knowledge grounding,language or multimodal controller,image generator; world generator or simulator,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,True,True,False,False,False,False,False,False,False,https://github.com/mhson-kyle/World-To-Image,,True
Cross-modal RAG,https://arxiv.org/abs/2505.21956,2025-05,2025,2025-H1,L1,L1,Image,"Retrieval, world knowledge, and motion conditioning",Sub-dimensional retrieval,language or multimodal controller,image generator,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,False,True,False,False,False,False,False,False,False,https://github.com/mengdanzhu/Cross-modal-RAG,,True
Aurora,https://arxiv.org/abs/2605.18748,2026-05,2026,2026-H1,L1,L1,Video;Editing,"Retrieval, world knowledge, and motion conditioning","Text, reference, and spatial conditioning for a fixed editor",language or multimodal controller,video generator or editor; visual editor,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,True,False,False,False,False,False,False,False,False,https://github.com/yeates/Aurora,https://yeates.github.io/Aurora-Page/,True
RealRAG,https://arxiv.org/abs/2502.00848,2025-02,2025,2025-H1,L1,L1,Image,"Retrieval, world knowledge, and motion conditioning",Self-reflective retrieval training,language or multimodal controller,image generator,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,False,True,False,False,False,False,False,False,False,https://github.com/charles-xjy/realrag,,True
When Cultures Meet: Multicultural Text-to-Image Generation,https://arxiv.org/abs/2502.15972,2025-02,2025,2025-H1,L1,L1,Image,"Retrieval, world knowledge, and motion conditioning",Condition construction and planning,language or multimodal controller,image generator,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,True,False,False,False,False,False,False,False,False,https://github.com/AIM-SCU/MosAIG,,True
VideoGen-of-Thought,https://arxiv.org/abs/2412.02259,2024-12,2024,2024-H2,L1,L1,Video,"Retrieval, world knowledge, and motion conditioning",Shot and identity planning,language or multimodal controller,video generator or editor,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,True,False,False,False,False,False,False,False,False,https://github.com/DuNGEOnmassster/VideoGen-of-Thought,https://cheliosoops.github.io/VGoT/,True
OmniDrive: An LLM-Choreographed Multi-Agent World Model with Unified Latent Co-Compression for Multi-View Driving Video Generation,https://arxiv.org/abs/2606.17536,2026-06,2026,2026-H1,L1,L1,Video,"Narrative, document, and multimodal specifications",Multi-role world-script and layout conditioning,multi-role language or multimodal controller,video generator or editor,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,True,False,False,True,False,False,False,False,False,,,False
MangaFlow: An End-to-End Agentic Framework for Controllable Story to Manga Generation,https://arxiv.org/abs/2605.28173,2026-05,2026,2026-H1,L1,L1,Image,"Narrative, document, and multimodal specifications","Story-section, layout, and reference conditioning",language or multimodal controller,image generator,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,True,False,False,False,False,False,False,False,False,,,False
Camera Artist,https://arxiv.org/abs/2604.09195,2026-04,2026,2026-H1,L1,L1,Video,"Narrative, document, and multimodal specifications",Recursive shot and cinematic-language conditioning,language or multimodal controller,video generator or editor,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,True,False,False,False,False,False,False,False,False,,,False
CineAGI: Character-Consistent Movie Creation through LLM-Orchestrated Multi-Modal Generation and Cross-Scene Integration,https://arxiv.org/abs/2604.23579,2026-04,2026,2026-H1,L1,L1,Video,"Narrative, document, and multimodal specifications",Cinematic-blueprint and character-consistency conditioning,language or multimodal controller,video generator or editor,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,True,False,False,False,False,False,False,False,False,,,False
Sima 1.0: A Collaborative Multi-Agent Framework for Documentary Video Production,https://arxiv.org/abs/2604.07721,2026-04,2026,2026-H1,L1,L1,Video,"Narrative, document, and multimodal specifications",Fixed multi-stage documentary specifications,multi-role language or multimodal controller,video generator or editor,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,True,False,False,True,False,False,False,False,False,,,False
InfinityStory: Unlimited Video Generation with World Consistency and Character-Aware Shot Transitions,https://arxiv.org/abs/2603.03646,2026-03,2026,2026-H1,L1,L1,Video,"Narrative, document, and multimodal specifications",Hierarchical narrative and transition conditioning,language or multimodal controller,video generator or editor,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,True,False,False,False,False,False,False,False,False,,,False
SlideTailor: Personalized Presentation Slide Generation for Scientific Papers,https://arxiv.org/abs/2512.20292,2025-12,2025,2025-H2,L1,L1,Slide,"Narrative, document, and multimodal specifications",Preference-distilled slide and layout specification,language or multimodal controller,slide renderer or object model,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,True,False,False,False,False,False,False,False,False,https://github.com/nusnlp/SlideTailor,,True
PosterGen: Aesthetic-Aware Multi-Modal Paper-to-Poster Generation via Multi-Agent LLMs,https://arxiv.org/abs/2508.17188,2025-08,2025,2025-H2,L1,L1,Image,"Narrative, document, and multimodal specifications","Content, layout, and style specification",multi-role language or multimodal controller,image generator,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,True,False,False,True,False,False,False,False,False,https://github.com/Y-Research-SBU/PosterGen,https://y-research-sbu.github.io/PosterGen/,True
ScreenCoder: Advancing Visual-to-Code Generation for Front-End Automation via Modular Multimodal Agents,https://arxiv.org/abs/2507.22827,2025-07,2025,2025-H2,L1,L1,UI,"Narrative, document, and multimodal specifications",Grounded hierarchy and code specification,language or multimodal controller,code generator and browser renderer,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,True,True,False,False,False,False,False,False,False,https://github.com/leigest519/ScreenCoder,,True
Captain Cinema: Towards Short Movie Generation,https://arxiv.org/abs/2507.18634,2025-07,2025,2025-H2,L1,L1,Video,"Narrative, document, and multimodal specifications",Keyframe planning and long-context conditioning,language or multimodal controller,video generator or editor,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,True,False,False,False,False,False,False,False,False,,https://thecinema.ai,False
MCCD,https://arxiv.org/abs/2505.02648,2025-05,2025,2025-H1,L1,L1,Image,"Narrative, document, and multimodal specifications",Feedback-refined compositional scene conditioning,language or multimodal controller,image generator,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,True,False,False,False,True,False,False,False,False,,,False
MM-StoryAgent,https://arxiv.org/abs/2503.05242,2025-03,2025,2025-H1,L1,L1,Image;Video,"Narrative, document, and multimodal specifications","Story, role, and modality-specific prompt conditioning",language or multimodal controller,image generator; video generator or editor,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,True,False,False,False,False,False,False,False,False,https://github.com/X-PLUG/MM_StoryAgent,,True
MovieAgent,https://arxiv.org/abs/2503.07314,2025-03,2025,2025-H1,L1,L1,Video,"Narrative, document, and multimodal specifications","Hierarchical script, scene, and shot conditioning",language or multimodal controller,video generator or editor,no outcome-conditioned action demonstrated,condition and terminal-artifact evaluation,True,False,False,False,False,False,False,False,False,https://github.com/showlab/MovieAgent,https://weijiawu.github.io/MovieAgent/,True
Search Beyond What Can Be Taught: Evolving the Knowledge Boundary in Agentic Visual Generation (SearchGen),https://arxiv.org/abs/2607.05382,2026-07,2026,2026-H2,L2,L1+L2,Image;World,"Tool use, expert routing, and executable programs","Selective image/web search, evidence filtering, and prompt integration",language or multimodal controller,image generator; world generator or simulator,execution result does not redirect the open-loop route,operation and terminal-artifact evaluation,True,True,True,False,False,True,False,False,False,https://github.com/HaozheH3/SearchGen,https://haozheh3.github.io/SearchGen/,True
ImageEdit-R1: Boosting Multi-Agent Image Editing via Reinforcement Learning,https://arxiv.org/abs/2603.08059,2026-03,2026,2026-H1,L2,L1+L2,Image;Editing,"Tool use, expert routing, and executable programs","Learned decomposition, sequencing, and open-loop edit execution",multi-role language or multimodal controller,image generator; visual editor,execution result does not redirect the open-loop route,operation and terminal-artifact evaluation,False,False,True,True,False,False,True,False,False,https://github.com/zhaoyiran924/ImageEdit-R1,,True
Mind-Brush,https://arxiv.org/abs/2602.01756,2026-02,2026,2026-H1,L2,L1+L2,Image;Editing;World,"Tool use, expert routing, and executable programs",Search/reasoning routing and generation/editing mode selection,language or multimodal controller,image generator; visual editor; world generator or simulator,execution result does not redirect the open-loop route,operation and terminal-artifact evaluation,True,True,True,False,False,False,False,False,False,https://github.com/PicoTrex/Mind-Brush,,True
SceneCraft: Interactive System for Image Editing via Scene Graph,https://arxiv.org/abs/2606.16103,2026-06,2026,2026-H1,L2,L1+L2,Image;Editing,"Tool use, expert routing, and executable programs",User-directed graph editing and model dispatch,language or multimodal controller,image generator; visual editor,execution result does not redirect the open-loop route,operation and terminal-artifact evaluation,True,False,True,False,False,False,False,False,False,,,False
GenClaw: Code-Driven Agentic Image Generation,https://arxiv.org/abs/2605.30248,2026-05,2026,2026-H1,L2,L1+L2,Image,"Tool use, expert routing, and executable programs",Code-driven canvas operations,language or multimodal controller,image generator,execution result does not redirect the open-loop route,operation and terminal-artifact evaluation,False,False,True,False,False,False,False,False,False,https://github.com/yejy53/GenClaw,,True
Unify-Agent,https://arxiv.org/abs/2603.29620,2026-03,2026,2026-H1,L2,L1+L2,Image;World,"Tool use, expert routing, and executable programs",Search-grounded generation orchestration,language or multimodal controller,image generator; world generator or simulator,execution result does not redirect the open-loop route,operation and terminal-artifact evaluation,False,True,True,False,False,False,False,False,False,https://github.com/shawn0728/Unify-Agent,,True
Vinedresser3D: Agentic Text-guided 3D Editing,https://arxiv.org/abs/2602.19542,2026-02,2026,2026-H1,L2,L1+L2,3D;Editing,"Tool use, expert routing, and executable programs",View selection and 3D editing orchestration,language or multimodal controller,3D generator or scene engine; visual editor,execution result does not redirect the open-loop route,operation and terminal-artifact evaluation,False,False,True,False,False,False,False,False,False,,,False
3D Space as a Scratchpad for Editable Text-to-Image Generation,https://arxiv.org/abs/2601.14602,2026-01,2026,2026-H1,L2,L1+L2,3D;Editing,"Tool use, expert routing, and executable programs",3D scratchpad tool orchestration,language or multimodal controller,3D generator or scene engine; visual editor,execution result does not redirect the open-loop route,operation and terminal-artifact evaluation,False,False,True,False,False,False,False,False,False,,https://oindrilasaha.github.io/3DScratchpad/,False
A Versatile Multimodal Agent for Multimedia Content Generation,https://arxiv.org/abs/2601.03250,2026-01,2026,2026-H1,L2,L1+L2,Image;Video,"Tool use, expert routing, and executable programs",Tool and workflow orchestration,language or multimodal controller,image generator; video generator or editor,execution result does not redirect the open-loop route,operation and terminal-artifact evaluation,False,False,True,False,False,False,False,False,False,,,False
Text-Driven Reasoning Video Editing via Reinforcement Learning,https://arxiv.org/abs/2511.14100,2025-11,2025,2025-H2,L2,L1+L2,Video;Editing,"Tool use, expert routing, and executable programs",Reason-then-edit execution,language or multimodal controller,video generator or editor; visual editor,execution result does not redirect the open-loop route,operation and terminal-artifact evaluation,True,False,True,False,False,False,True,False,False,,,False
Collaborative Text-to-Image Generation via Multi-Agent Reinforcement Learning,https://arxiv.org/abs/2510.10633,2025-10,2025,2025-H2,L2,L1+L2,Image,"Tool use, expert routing, and executable programs",Learned multi-agent execution,multi-role language or multimodal controller,image generator,execution result does not redirect the open-loop route,operation and terminal-artifact evaluation,False,False,True,True,False,False,True,False,False,,,False
LLM-I: LLMs are Naturally Interleaved Multimodal Creators,https://arxiv.org/abs/2509.13642,2025-09,2025,2025-H2,L2,L1+L2,Image,"Tool use, expert routing, and executable programs","Search, generation, code, and editing tools",unified multimodal policy,image generator,execution result does not redirect the open-loop route,operation and terminal-artifact evaluation,False,True,True,False,False,False,False,False,False,https://github.com/ByteDance-BandAI/LLM-I,,True
ComfyUI-Copilot: An Intelligent Assistant for Automated Workflow Development,https://arxiv.org/abs/2506.05010,2025-06,2025,2025-H1,L2,L1+L2,Image,"Tool use, expert routing, and executable programs",Tool and workflow orchestration,language or multimodal controller,image generator,execution result does not redirect the open-loop route,operation and terminal-artifact evaluation,False,False,True,False,False,False,False,False,False,https://github.com/AIDC-AI/ComfyUI-Copilot,,True
ComfyUI-R1: Exploring Reasoning Models for Workflow Generation,https://arxiv.org/abs/2506.09790,2025-06,2025,2025-H1,L2,L1+L2,Image,"Tool use, expert routing, and executable programs",Tool and workflow orchestration,language or multimodal controller,image generator,execution result does not redirect the open-loop route,operation and terminal-artifact evaluation,True,False,True,False,False,False,False,False,False,https://github.com/AIDC-AI/ComfyUI-Copilot,,True
Image Editing as Programs with Diffusion Models,https://arxiv.org/abs/2506.04158,2025-06,2025,2025-H1,L2,L1+L2,Editing,"Tool use, expert routing, and executable programs",Atomic editing-program execution,language or multimodal controller,visual editor,execution result does not redirect the open-loop route,operation and terminal-artifact evaluation,False,False,True,False,False,False,False,False,False,https://github.com/YujiaHu1109/IEAP,https://yujiahu1109.github.io/IEAP/,True
Policy Optimized Text-to-Image Pipeline Design,https://arxiv.org/abs/2505.21478,2025-05,2025,2025-H1,L2,L1+L2,Image,"Tool use, expert routing, and executable programs",Generator and processing-block selection,language or multimodal controller,image generator,execution result does not redirect the open-loop route,operation and terminal-artifact evaluation,False,False,True,False,False,False,True,False,False,,,False
Visual Programming for Text-to-Image Generation and Evaluation,https://arxiv.org/abs/2305.15328,2023-05,2023,2023-H1,L2,L1+L2,Image,"Tool use, expert routing, and executable programs",Executable visual program,language or multimodal controller,image generator,execution result does not redirect the open-loop route,operation and terminal-artifact evaluation,False,False,True,False,False,False,False,False,False,https://github.com/j-min/VPGen,https://vp-t2i.github.io/,True
Visual ChatGPT,https://arxiv.org/abs/2303.04671,2023-03,2023,2023-H1,L2,L1+L2,Image;Editing,"Tool use, expert routing, and executable programs",Visual foundation model orchestration,language or multimodal controller,image generator; visual editor,execution result does not redirect the open-loop route,operation and terminal-artifact evaluation,False,False,True,False,False,False,False,False,False,https://github.com/microsoft/visual-chatgpt,,True
Boogu-Image-0.1: Boosting Open Agentic Multimodal Generation via Understanding under a Minimal Budget,https://arxiv.org/abs/2607.13125,2026-07,2026,2026-H2,L2,L1+L2,Image,Multi-agent and long-horizon workflow orchestration,Tool and workflow orchestration,language or multimodal controller,image generator,execution result does not redirect the open-loop route,operation and terminal-artifact evaluation,False,False,True,False,False,False,False,False,False,https://github.com/Boogu-Project/Boogu-Image,https://boogu.org/,True
VideoAgent: All-in-One Framework for Video Understanding and Editing,https://arxiv.org/abs/2606.23327,2026-06,2026,2026-H1,L2,L1+L2,Video;Editing,Multi-agent and long-horizon workflow orchestration,Tool and workflow orchestration,language or multimodal controller,video generator or editor; visual editor,execution result does not redirect the open-loop route,operation and terminal-artifact evaluation,False,False,True,False,False,False,False,False,False,https://github.com/HKUDS/VideoAgent,,True
ViMax,https://arxiv.org/abs/2606.07649,2026-06,2026,2026-H1,L2,L1+L2,Video,Multi-agent and long-horizon workflow orchestration,Multi-role video workflow with best-of-k quality selection,multi-role language or multimodal controller,video generator or editor,execution result does not redirect the open-loop route,operation and terminal-artifact evaluation,False,False,True,True,False,False,False,False,False,https://github.com/HKUDS/ViMax,,True
AutoUE: Automated Generation of 3D Games in Unreal Engine via Multi-Agent Systems,https://arxiv.org/abs/2603.07106,2026-03,2026,2026-H1,L2,L1+L2,3D,Multi-agent and long-horizon workflow orchestration,Tool and workflow orchestration,multi-role language or multimodal controller,3D generator or scene engine,execution result does not redirect the open-loop route,operation and terminal-artifact evaluation,False,False,True,True,False,False,False,False,False,https://github.com/Pluto156/AutoUE,,True
